Country,Region,Development Stage,1.01 Ease of doing business (WB),1.02 Starting a business (WB),1.03 Paying taxes (WB),1.04 Resolving Insolvency (WB),1.05 Enforcing contracts (WB),1.06 Property Rights (IEF),1.07 Government Integrity (IEF),1.08 Labor Freedom (IEF),1.09 Trade freedom (IEF),1.10 Corruption Perceptions Index (TI),2.01a Percentage of adults with a doctoral or equivalent level of education (OECD),2.01b Skillset of graduates (GCI 4.0),2.01c Ease of finding skilled employees (GCI 4.0),2.01d Researchers/Professionals engaged in R&D per million population (GII),"2.01e STEM Graduates per capita (OECD) - Natural sciences, mathematics and statistics",2.02a R&D expenditure as a % GDP (UNESCO),2.02b R&D expenditure in '000 current PPP$ (UNESCO),2.02c Public R&D Expenditure as % of GDP (UNESCO),2.02d Business R&D Expenditure as % GDP (UNESCO),2.03a Internet Bandwidth (GCI),2.03b Production Process Sophistication (GCI),2.03c Availability of latest technologies (GCI),2.03d ICT access (GII),2.04a Government procurement of advanced technology (GCI),2.04b University-industry research collaborations (GII),"2.04c Trade, Competition & Market scale (GII)",2.05a Research institutions prominence (GCI 4.0),2.05b Graduates in science & engineering (%) (GII),3.01a Entrepreneurship perceived capabilities (GEM),3.01b % school grads in tertiary education (GII),3.02a VC investment (WEF),3.02b Financing of SME's (GCI 4.0),3.02c Venture Capital Availability (GCI 4.0),3.02d Ease of Credit (GII),3.02e VC deals (GII),3.02f Venture Capital Deal Volume (WEF),3.03a Logistics performance (WB),3.03b Electricity (GCI 4.0),3.03c ICT Adoption (GCI 4.0),3.04a Buyer sophistication (GCI 4.0),3.04b Domestic Market Scale (GII),3.05a Entrepreneurial intentions (GEM),3.05b Fear of failure (GEM),3.05c Entrepreneurship as a Good Career choice (GEM),3.05d High Status to Successful Entrepreneurs (GEM),3.05e Business Freedom (IEF),3.05f Attitudes towards Entrepreneurial Risk (GCI 4.0),4.01 State of cluster development (GCI 4.0),4.02 Country capacity to attract and retain talent (WEF),5.01 Social Progress Index (SPI),5.02 Inclusive Development Index (IDI),5.03 Population below international poverty line (SDG 1 - No poverty),5.04 Prevalence of undernourishment (SDG 2 - Zero Hunger),"5.05 Carbon dioxide emissions per unit of GDP (SDG 9 - Industry, Innovation and Infrastructure)",5.06 Proportion of urban population living in slums (SDG 11 - Sustainable Cities and Communities),5.07 Annual population-weighted average mean concentration of fine suspended particles of less than 2.5 microns in diameter (SDG 11 - Sustainable Cities and Communities),5.08 Domestic material consumption per capita (SDG 12 - Responsible Consumption and Production),6.01 GDP per capita (IMF),6.02 Annual growth rate of real GDP per capita (SDG 8 - Decent Jobs and Economic Growth),6.03 Annual growth rate of GDP (WB),6.04 Unemployment rate of population 15 years of age and older (SDG 8 - Decent Jobs and Economic Growth),6.05 FDI inward flow as % of GDP (UNCTAD),GNI per capita (WB),SEDA Score (BCG),Power Distance Index (PDI),Individualism versus Collectivism (IDV),Masculinity versus Feminity (MAS),Uncertainty Avoidance Index (UAI),Long Term Orientation versus Short Term Normative Orientation (LTO),Indulgence versus Restraint (IVR)
Hungary,Europe and Central Asia,Developed economies,73.4,88.2,80.6,55,71,64.8,47.5,64.6,86.4,46,0.73,47.82,33.35,35.3,23.11228133,1.55484,4658892.67,0.17,1.18,154.76,3.54,5.23,77.9,2.84,44.4,65.5,9.8,38.5,NA,37.6,7.3,50.2,42.12,75,2.3,943.5,3.41,97.92,64.2,32.32,56.3,NA,NA,NA,NA,60.2,35.79,47.16,2.5,78.77,4.74,0.5,2.5,0.18,NA,15.6164436,16.92583,15923.82,4.48,4.9,4.2,4.11,16140,65.3,46,80,88,82,58,31
Iceland,Europe and Central Asia,Developed economies,79,90.6,83.8,82,69.1,87.6,90.3,63.5,86.8,76,1.34,70.07,69.51,74.1,19.47852761,2.02994,411342.97,0.08,1.31,997.83,5.39,6.3,92.9,3.62,59.7,52.6,1.41,18.7,NA,58,NA,59.04,44.64,60,52.6,NA,3.29,100,85.31,54.36,24.6,NA,NA,NA,NA,84.7,66.72,52.18,NA,89.29,6.07,0,2.5,0.14,NA,5.93533993,10.7342,74278.17,3.2,1.9,2.7,-1.3,72850,85.6,NA,NA,NA,NA,28,67
India,South Asia,Developing economies,71,81.6,67.6,62,41.2,63,47.2,41.2,73.4,41,NA,46.21,52.84,2.5,31.72857327,0.64998,68238350.29,0.36,0.24,15.96,4.46,4.68,38.5,4.68,60.1,79.4,98.36,66,85.2,21.3,39,61.05,52.75,80,10.7,83342.4,3.22,86.63,32.11,49.78,91.2,33.3,62.37,89.54,92.3,65.6,55.21,54.32,4.6,59.1,3.09,21.2,14.8,0.26,24,65.2037048,5.52814,2036.2,5.49,5,2.7,1.54,2130,37.4,77,48,56,40,51,26
Indonesia,East Asia and Pacific,Developing economies,69.6,81.2,75.8,68.1,49.1,59.8,37.2,49.2,80.8,38,0.04,58.96,59.22,0.9,NA,0.22634,7910095.43,0.16,0.02,24.95,4.29,4.76,51.4,4.37,53.8,80.6,10.61,28.9,64.01,28.3,26.6,58.22,45.93,70,2,23809.4,3.08,94.74,55.37,43.24,80.5,21.17,34.12,71.9,74.85,70,58.43,59.41,4.4,65.52,3.95,5.7,7.7,0.17,21.8,15.5755177,7.47189,3870.56,3.92,5,4.2,2.11,4050,46.3,78,14,46,48,62,38
"Iran, Islamic Rep.",Middle East and North Africa,Developing economies,58.5,67.8,59.5,35.1,58.2,36.9,33.5,50.7,54.6,28,NA,33.21,48.11,8,NA,0.83027,14073524.83,0.33,0.21,15.24,3.71,4.12,72.7,3.5,33.6,54.7,50.85,97.3,68.88,54.2,NA,30.84,20.72,50,NA,NA,2.71,95.52,50.85,40.8,73,37.85,36.2,45.29,86.57,57.3,33.57,42.07,NA,65.15,4.08,0.3,4.9,0.39,NA,35.0891647,14.4353,5491.44,2.62,3.8,12.1,0.7,5420,45.9,58,41,43,59,14,40
Ireland,Europe and Central Asia,Developed economies,79.6,94.4,94.6,79.2,57.9,86.6,82.8,75.9,86.4,73,1.29,68.02,62.05,51.9,25.23178605,1.14647,4629768.1,0.05,0.86,183.94,5.74,5.58,81.3,3.4,69.9,69,9.83,45.3,42,61.1,169,47.91,42.39,70,33.5,46995.6,3.63,98.34,66.6,57.6,58.4,14.59,31.39,39.93,20.69,82.7,64.75,58.26,4.9,87.97,5.44,0.2,2.5,0.12,NA,8.2591362,13.45865,76098.59,7,5.5,6.7,-17.81,62210,82.7,28,70,68,35,24,65
Israel,Middle East and North Africa,Developing economies,76.7,94.1,89.6,72.7,58.9,82.3,77.2,64.4,86.2,61,1.31,68.65,71.83,100,18.72706709,4.95278,17521710.58,0.08,4.37,158.7,5.7,6.49,80.3,4.44,79.4,69.8,13.64,NA,43.34,49.3,45.9,61.62,69.76,65,89.3,14182,3.39,99.93,67.56,55.72,57.2,21.2,55.36,64.21,84.13,72.2,82.67,56.84,4.4,81.44,4.51,0.2,2.5,0.23,NA,19.4622288,12.94237,41644.08,1.84,3.5,4.2,5.89,43290,67.8,13,54,47,81,38,NA
Italy,Europe and Central Asia,Developed economies,72.9,86.8,64,77.5,53.1,75.4,62.2,50.9,86.4,52,0.51,54.02,54.61,27.7,25.71171879,1.39909,35197944.11,0.18,0.87,82.34,5.2,5.14,74.3,2.99,49.5,78.7,86.01,39.8,48.09,49.6,28,38.07,25.76,45,9.3,54305.1,3.73,99.09,64.49,48.63,76.7,5.37,27.64,19.04,13.06,70.4,49.78,74.93,2.7,85.69,4.31,2,2.5,0.16,NA,15.2833557,6.93399,34260.34,1.69,0.3,NA,1.17,34460,69.7,50,76,70,75,61,30
Japan,East Asia and Pacific,Developed economies,78,86.1,81.6,90.2,65.3,86.6,80.5,78.7,80,73,NA,58.28,56.69,64.2,21.10595356,3.26451,176762555.5,0.25,2.59,83.01,6.39,6.27,86.3,3.97,64.5,85.9,100,NA,13.98,NA,11.8,64.83,55.73,55,3,55758.8,3.99,99.84,86.2,65.95,85.2,4.34,43.51,24.6,62.65,81.4,52.75,67.75,3.6,88.34,4.53,0.2,2.5,0.24,NA,11.4452248,8.94113,39305.78,1.95,0.7,2.8,0.2,41690,77.2,54,46,95,92,88,42
Jordan,Middle East and North Africa,Developing economies,69,84.5,78.7,39.7,55.6,64.8,49.6,52.5,81.2,49,NA,51.52,63.8,7.1,NA,0.7078,607313.11,NA,NA,8.23,4.4,5.38,61.5,3.49,40.6,59.8,3.7,48.4,61.72,24.6,11.9,61.2,50.79,35,5.3,442.7,2.78,96.69,51.04,47.52,43.9,29.05,54.35,76.29,85.18,60.1,48.72,57.5,3.3,69.57,3.4,0.1,13.5,0.31,12.9,32.0861778,7.05397,4278.29,-0.48,2,15.3,2.25,4300,46.5,NA,NA,NA,NA,16,43
Kazakhstan,Europe and Central Asia,Economies in transition,79.6,94.4,78.2,66.7,81.3,61.3,40.9,86,80.2,31,NA,46.11,51.12,8.2,NA,0.12286,624925.89,0.04,0.05,87.24,3.59,4.13,75.4,3.28,40.5,67.3,1.46,44.2,NA,41.8,13.5,45.11,31.97,65,0.3,2426.9,2.77,99.44,67.99,43.87,61.3,NA,NA,NA,NA,74.6,62.8,33.89,3.4,68.2,4.26,0,2.5,0.56,NA,11.3155746,29.13399,9236.97,2.79,4.5,4.9,2.29,8810,57.1,NA,NA,NA,NA,NA,NA
Kenya,Sub-Saharan Africa,Developing economies,73.2,82.7,72.8,62.4,58.3,63.2,28.2,55.8,60.4,27,NA,51.78,64.42,2.6,NA,NA,NA,NA,NA,69.01,3.8,5.1,39.6,4.04,55.1,51.2,3.64,20.8,NA,8.7,12.6,48.71,33.68,90,17,822.5,2.93,78.64,35.68,38.05,50.7,NA,NA,NA,NA,55,62.69,53.47,4,53.51,NA,36.8,24.2,0.11,56,25.8544197,3.22379,1857.16,2.27,5.4,9.6,1.93,1750,33.2,NA,NA,NA,NA,NA,NA
"Korea, Rep.",East Asia and Pacific,Developing economies,84,93.4,87.4,82.9,84.1,82.5,67.5,56.2,80,57,NA,59.41,65.12,91.1,29.90567377,4.81009,99625681.93,0.48,3.86,54.25,5.22,5.81,90,3.8,56.5,76.7,75.74,58.3,51.7,74,23.7,54.84,40.5,65,6.3,33189.6,3.65,100,92.84,73.78,75.6,25.65,7.14,54.33,85.97,90.5,47.02,60.02,4.2,85.61,5.09,0.2,2.5,0.33,NA,24.5724049,11.31634,31345.62,2.68,2,3.7,0.89,33720,73.2,60,18,39,85,100,29
Kuwait,Middle East and North Africa,Developing economies,67.4,88.4,92.5,39.2,61.4,57.1,46,62.2,76.4,41,NA,42.06,54.64,5.8,NA,0.06192,188832.4,0.06,NA,69.52,3.81,4.93,78.3,3.14,40.2,61,1.85,NA,NA,25.3,25.4,56.45,53.24,35,NA,3512.8,2.96,96.01,69.57,49.79,56.1,NA,NA,NA,NA,61.3,54.09,51.3,3.1,NA,NA,NA,2.5,0.33,NA,57.1715012,29.57673,30839.2,-5.44,0.4,2.2,0.25,34290,65.7,NA,NA,NA,NA,NA,NA
Kyrgyz Republic,Europe and Central Asia,Economies in transition,67.8,93,67.2,50,50.4,53.6,32,79.6,79.2,29,NA,36.78,43.11,NA,NA,0.10707,24778.61,0.06,0.03,65.38,2.98,3.46,47.1,2.9,27.6,49,0,31.9,NA,34.1,2.5,41.01,27.83,75,NA,17.3,2.38,91.76,58.82,38.24,28,NA,NA,NA,NA,73.6,59.85,29.14,2.4,66.64,3.36,1.5,6.5,0.47,NA,18.1241302,8.37154,1268.03,3.04,4.5,6.9,0.59,1240,43,NA,NA,NA,NA,66,39
Latvia,Europe and Central Asia,Developed economies,80.3,94.1,89,59.8,73.5,72.3,46.4,72.4,86.4,58,0.38,53.89,48.68,21.5,20.51785262,0.63068,372920.65,0.14,0.16,246.67,4.07,5.35,74.5,2.67,38.3,60.4,1.95,32.1,56.97,69.5,18.3,50.45,42,85,13.1,524.8,3.02,98.76,79.71,41.19,38.6,23.24,46.59,56.82,60.28,77,46.78,48.64,2.4,80.42,4.67,0.7,2.5,0.15,NA,12.7207108,16.9644,18031.99,5.76,2.2,8.7,2.52,17730,67.2,44,70,9,63,69,13
Lebanon,Middle East and North Africa,Developing economies,54.3,78.2,67.5,29.1,50.8,44.6,25,47.8,77.4,28,NA,63.62,67.89,NA,NA,NA,NA,NA,NA,55.09,4.04,4.08,65.3,2.8,41.1,61.3,3.08,40.2,68.08,29.7,5.2,47.35,37.57,40,41.7,244.1,2.71,96.61,46.66,43.21,43.7,29.1,22.39,NA,NA,45.6,52.9,48.79,2.8,64.98,NA,0,10.9,0.3,53.1,30.6720715,9.99883,9257.3,-0.7,-5.6,6.4,5.07,7600,43.5,NA,NA,NA,NA,NA,NA
Lithuania,Europe and Central Asia,Developed economies,81.6,93.3,88.8,46.7,78.8,77.9,67.4,76.5,86.4,59,0.59,48.48,41.08,36.4,23.81497827,0.94496,931647.83,0.21,0.4,198.56,4.46,5.62,73.7,2.93,51.4,63.4,3.85,41.3,NA,56,10.4,45.97,37.56,70,2.4,459.8,3.2,98.32,81.53,40.57,44.4,NA,NA,NA,NA,71.9,54.53,40.84,2.6,81.3,4.86,0.7,2.5,0.14,NA,11.4878435,15.30296,19143.42,4.79,3.9,7.1,1.7,18990,68.7,42,60,19,65,82,16
Luxembourg,Europe and Central Asia,Developed economies,69.6,88.8,87.4,45.5,73.3,86.4,90.3,45.3,86.4,81,2.15,71.12,56.39,56.7,17.89536266,1.23562,834296.78,0.29,0.69,8397.88,5.87,6.29,94.2,4.68,68.2,60.7,0.55,24.8,48.49,15,NA,63.34,57.74,15,49.9,NA,3.84,100,78.13,69.77,40.2,12.92,45.65,58.95,81.35,66.8,55.6,68.82,NA,87.66,6.07,0.2,2.5,0.16,NA,10.2121592,28.45526,114234.24,0.21,2.3,5.5,-8.2,73910,83.6,40,60,50,70,64,56
Madagascar,Sub-Saharan Africa,Least developed countries,47.7,88.5,62.6,34.8,50,45.6,25,44.6,73.6,25,NA,42.95,46.92,0.2,NA,0.01465,5844.37,0.01,NA,14.26,2.77,3.84,22.3,2.84,NA,46.1,0.37,39.9,73.46,3.2,NA,39.08,25,40,NA,NA,2.35,52.22,21.47,21.85,35.2,44.45,41.01,94.41,80.62,47.3,34.04,39.05,NA,43.58,3.03,77.6,43.1,NA,77.2,21.4381676,2.41271,459.346,-1.47,4.8,1.8,2.51,520,27.8,NA,NA,NA,NA,NA,NA
Malaysia,East Asia and Pacific,Developing economies,81.5,83.3,76,67,68.2,86.5,49.4,74.5,82,47,NA,67.89,67.88,28.5,NA,1.43665,12425082.98,0.13,0.81,42.63,5.09,5.46,75,4.96,72,72.6,14.1,64.5,NA,32.8,19.8,66.69,59.51,75,3.3,6155.5,3.34,97.59,71.6,62.93,68.1,NA,NA,NA,NA,87.8,69.17,69.79,5,74.17,4.3,0,2.9,0.28,NA,16.0394344,16.37325,10941.75,4.43,4.3,3.4,2.28,11200,60.8,100,26,50,36,41,57
Mali,Sub-Saharan Africa,Least developed countries,52.9,84.3,48.9,43.4,42.8,36.1,20.7,52.2,65,32,NA,47.83,49.33,0.2,NA,0.29175,119998.53,0.16,NA,0.6,3.06,4.14,35.7,3.52,39.8,43.3,0,NA,NA,3.8,NA,38.86,28.07,30,NA,NA,2.55,61.18,27.88,23.67,35.6,NA,NA,NA,NA,49.2,42.25,44.49,NA,45.98,3.1,49.7,6,NA,56.3,31.1731167,5.78956,926.908,3.79,5,1.4,2.13,880,25.7,NA,NA,NA,NA,20,43
Malta,Middle East and North Africa,Developed economies,66.1,88.2,76.2,38.3,67.6,70.5,55.1,61.1,86.4,54,NA,61.88,42.49,25,NA,0.57462,118271.05,0.01,0.35,1596.25,4.79,5.74,91.3,3.81,48.8,55.5,0.4,25.1,NA,38.3,NA,49.84,33.34,35,36.5,NA,2.94,97.36,75.46,47.76,25.8,NA,NA,NA,NA,68,58.87,53.07,NA,82.63,NA,0,2.5,0.09,NA,13.9682074,15.51278,31058.43,6.32,4.4,4.6,28.36,27290,70.9,56,59,47,96,47,66
Mauritius,Sub-Saharan Africa,Developing economies,81.5,94.5,94,73.8,72.2,75.8,53.3,60.2,88.2,51,NA,51.68,50.63,2.1,NA,0.34597,103789.6,0.27,0.02,63.49,4.37,4.86,74.3,3.4,35.7,56.8,0.36,NA,NA,30.3,140.4,50.09,35.15,65,8.3,1715.6,2.65,99.14,68.27,46.08,30.9,NA,NA,NA,NA,82.5,49.35,48.84,3.9,74.88,NA,0.5,5.8,0.17,NA,13.5398016,11.60127,11280.68,3.63,3.6,6.8,2.58,12740,59.1,NA,NA,NA,NA,NA,NA
Mexico,Latin America and the Caribbean,Developing economies,72.4,86.1,65.8,70.3,67,58.3,36.7,58.4,87.6,28,0.08,51.47,52.96,2.8,25.4828583,0.31223,7836025.29,0.08,0.07,37.6,4.35,5.01,54.9,3.07,43.7,79.5,29.8,46,70.68,29.8,25.7,45.37,38.32,90,1.1,29976.3,3.08,95.59,55.03,43.9,77.4,16.3,47.74,68.06,67.64,67,50.96,54.74,3.5,71.51,4.12,2.5,3.8,0.21,11.1,20.0763474,8.00474,9807.44,0.79,-0.1,3.4,2.58,9430,49.2,81,30,69,82,24,97
Moldova,Europe and Central Asia,Economies in transition,74.4,95.7,85.2,54.8,63.6,60.5,37.2,37,78,33,NA,43.49,36.67,8.6,NA,0.25498,66009.43,0.18,0.04,144.09,3.2,4.36,72.8,2.49,29.1,50.2,0.71,37.1,NA,32.1,0.5,43.81,24.59,70,NA,3.5,2.52,92.31,66.79,30.91,28.5,NA,NA,NA,NA,68.1,48.19,26.05,1.9,67.58,4,0.1,NA,0.45,NA,15.9665146,7.68436,3217.72,4.74,3.5,4.1,2.38,3930,48.5,NA,NA,NA,NA,71,19
Mongolia,East Asia and Pacific,Developing economies,67.8,86.7,77.3,30.1,61.4,50.3,36.9,75.7,74,37,NA,40.86,29.92,NA,NA,0.10293,44818.68,0.06,0.01,166.06,3.13,4.3,49.1,2.81,26.6,50.4,0.37,35,NA,51,43.8,32.16,19.63,80,NA,512.6,2.4,91.49,46.55,36.94,35.3,NA,NA,NA,NA,63.6,45.68,33.69,2.5,65.6,3.74,0.6,18.7,0.53,42.7,40.4189568,34.53589,4026.28,3.43,5.1,6.4,17.19,3780,49.6,NA,NA,NA,NA,NA,NA
Montenegro,Europe and Central Asia,Economies in transition,73.8,86.7,76.7,66.1,66.8,59.1,47.5,74.8,83.8,45,NA,47.36,50.58,8.5,NA,0.36763,46889.67,0.16,0.05,202.88,3.27,4.5,74.4,3.26,41.6,43.9,0.39,NA,NA,45.7,NA,53.73,44.98,85,NA,NA,2.65,93.9,62.95,44.18,15,NA,NA,NA,NA,70.8,46.54,44.77,NA,71.16,NA,0,2.5,0.22,NA,20.170229,7.92477,8651.68,4.66,3.6,16.1,9.04,9010,54.3,NA,NA,NA,NA,75,20
Morocco,Middle East and North Africa,Developing economies,73.4,93,87.2,52.9,63.7,66.3,39.2,33,78.6,43,NA,40.99,49.35,12.8,NA,NA,NA,NA,NA,25.7,3.69,5.07,63.6,3.25,31.2,65.6,5.94,26.3,62.37,26.3,26.1,50.01,32.97,45,3,2715.2,2.67,93.69,46.2,44.68,56.5,41.93,42.52,81.52,68.37,70.4,45.96,42.87,3.2,66.04,NA,1,3.9,0.22,13.1,30.9871521,7.856,3359.14,4.23,2.3,9.3,3.08,3190,42.8,70,46,53,68,14,25
Netherlands,Europe and Central Asia,Developed economies,76.1,94.3,87.4,84.4,59.9,90,90.1,60.2,86.4,82,0.74,74.41,63.54,60.6,15.70507114,2.16374,21001378.09,0.13,1.45,196.11,6.15,6.41,87.5,4.1,75.5,76.5,45.28,14.3,41.92,63.4,98.3,63.8,56.39,45,30.7,78632.5,4.07,99.73,76.29,62.7,67.8,9.18,27.13,85.83,76.38,80.4,65.87,70.37,5.2,88.3,5.61,0,2.5,0.2,NA,12.0730629,13.64303,53106.38,2.87,1.8,4.8,7.63,53200,83.3,38,80,14,53,67,68
New Zealand,East Asia and Pacific,Developed economies,86.8,100,91,69.5,71.5,93.3,93.9,86.7,92.2,87,1.14,63.48,52.47,49,21.29502584,1.3657,2647529.75,0.27,0.75,109.6,5.09,6.05,86.2,3.8,62.7,66.7,8.11,33.9,NA,64.7,29.3,65.18,54.81,100,25.4,5488.6,3.68,98.41,77.71,53.29,51.9,NA,NA,NA,NA,90.4,61.42,49.49,4.9,88.93,5.25,NA,2.5,0.19,NA,5.73113155,24.08026,41266.85,1.84,2.2,4.7,0.69,42670,80.9,22,79,58,49,33,75
Nigeria,Sub-Saharan Africa,Developing economies,56.9,86.2,53.7,30.6,61.5,38.1,22.3,84,62.4,27,NA,29.77,49.1,NA,NA,NA,NA,NA,NA,11.26,3.01,4.26,29.9,2.93,23.7,61.2,7.23,NA,NA,7.5,15.1,30.24,16.85,85,3.7,7342.2,2.59,74.17,33.39,36.9,69.6,NA,NA,NA,NA,54.7,69.81,46.35,3.5,49.2,3.08,53.5,11.5,0.09,50.2,48.7270241,3.43904,2049.11,-1.77,2.2,7.1,0.47,2030,22.7,NA,NA,NA,NA,13,84
North Macedonia,Europe and Central Asia,Economies in transition,80.7,88.6,84.7,72.7,66,62.5,42.2,67,86.2,37,NA,39.81,40.99,8.7,NA,0.36398,124024.59,0.04,0.11,NA,NA,NA,68.3,NA,29.2,53.8,0.76,30.5,60.87,32.1,NA,38.97,27.9,85,NA,NA,2.62,95.24,57.6,31.66,31.8,20.28,47.22,68.01,67.98,80.6,34.83,38.55,NA,68.92,4.1,5.2,4.1,0.26,NA,28.3436108,14.52329,6100.19,0.15,3.6,22.4,5.81,5910,50.7,NA,NA,NA,NA,62,35
Norway,Europe and Central Asia,Developed economies,82.6,94.3,85.1,85.4,81.3,84.3,95.6,57.4,83.8,84,1.11,66.12,70.6,77.6,20.49173638,2.06985,7215796.31,0.28,1.07,268.95,6.17,6.55,77.6,4.12,61.7,67.4,15.26,32,31.52,64.6,51,64.98,48.45,55,5.5,21358,3.74,98.5,83.12,54.34,58.9,5.74,30.24,66.74,93.49,86.1,53.43,64.57,5.1,90.95,6.08,0.2,2.5,0.11,NA,7.02302647,21.79506,81694.63,1.01,1.2,4.2,-4.19,82500,87.7,31,69,8,50,35,55
Oman,Middle East and North Africa,Developing economies,70,93.5,90.2,44,61.9,66.4,64.6,56.9,81.6,52,NA,58.49,59.13,2.8,NA,0.21961,439463.34,0.09,0.07,66.07,4.01,4.86,76.6,3.69,51,65,1.19,100,56.32,34.9,4.7,60.22,52.32,35,NA,341.2,3.16,96.52,58.11,52.69,51.8,62.91,40.78,85.34,85.67,74.6,53.52,59.37,4.2,69.08,NA,NA,5.4,0.37,NA,38.2489395,31.67344,19302.21,-5.45,0.5,3.3,5.07,15330,62,NA,NA,NA,NA,NA,NA
Pakistan,South Asia,Developing economies,61,89.3,52.9,59,43.5,48.3,29.7,41.3,64.8,33,NA,55.6,55.29,3.4,NA,0.23597,2575111.39,0.09,NA,16.64,3.7,4.72,35.1,3.78,44.5,60,15.22,NA,63.02,7.4,2.1,48.96,46.09,45,0.9,558.2,2.64,80.74,25.21,47.95,69.4,27.9,54.16,80.15,87.71,54.9,51.56,48.79,3.5,48.2,3.55,3.9,20.5,0.17,45.5,55.2106552,4.44557,1555.38,3.63,1,3.6,0.84,1530,25.4,55,14,50,70,50,0
Panama,Latin America and the Caribbean,Developing economies,66.6,92,46.7,39.5,49,58.8,37.2,43.3,79.2,37,NA,46.88,43.57,0.3,NA,0.14699,147724.79,0.04,NA,55.07,4.04,5.4,63.5,3.49,35.5,58,0.43,22.9,72.9,37,19.4,53.56,40.45,80,NA,1009.4,3.26,90.72,50.06,46.11,45.8,40.77,40.77,69.97,74.61,70.8,50.91,45.75,4.6,73.96,4.54,2.5,9.2,0.12,25.8,11.1830273,7.00776,15679.04,3.7,3,3.9,8.59,14950,53.1,95,11,44,86,NA,NA
Paraguay,Latin America and the Caribbean,Developing economies,59.1,76,64.1,42.1,61.6,44.7,29.6,29,75.4,29,NA,35.32,37.21,1.3,NA,0.14883,132574.28,0.05,NA,21.02,3.14,3.8,43.5,2.94,26.4,56.7,0.37,NA,NA,27.3,1.5,48.91,31.66,40,NA,42.9,2.7,88.62,45.68,35.08,44.1,NA,NA,NA,NA,60.9,50.73,35.55,3.3,67.2,4.19,1.2,11.2,0.11,17.6,11.1552019,7.80431,5898.82,2.96,0,4.6,1.45,5510,44.2,NA,NA,NA,NA,NA,NA
Peru,Latin America and the Caribbean,Developing economies,68.7,82.1,65.8,46.6,59.1,54.9,33.5,62.9,88.4,35,NA,42.48,44.02,NA,NA,0.12704,584926.44,NA,NA,33.31,3.49,4.31,50.8,2.75,31.9,72.1,2.41,41.2,71.8,54.8,24.7,43.77,34.98,75,2.6,4789.4,2.78,94.07,45.7,38.26,60.3,39.7,30.15,65.69,62.35,67.1,50.57,40.06,3.6,71.3,4.29,3.4,8.8,0.14,34.2,24.2704926,14.71163,7002.09,1.28,2.2,7.9,2.78,6740,47.6,64,16,42,87,25,46
Philippines,East Asia and Pacific,Developing economies,62.8,71.3,72.6,55.1,46,54.6,38.7,57.4,81.6,36,NA,66.41,67.11,2.1,NA,NA,NA,NA,NA,43.44,3.64,4.65,47.5,3.05,57.5,75.2,2.25,55.1,NA,27.5,12.7,48.4,42.66,5,1.1,3722.8,2.91,91.48,49.69,46.32,67.6,NA,NA,NA,NA,59.5,62.41,48.11,3.4,63.4,3.83,7.8,13.7,0.16,38.3,18.3807278,3.96257,3103.62,5.06,6,2.6,1.95,3850,42.6,94,32,64,44,27,42
Poland,Europe and Central Asia,Developed economies,76.4,82.9,76.4,76.5,64.4,63.1,64.6,62,86.4,60,0.56,44.53,51.57,36.3,22.86054744,1.21228,14430460.85,0.02,0.8,83.3,4.22,4.81,74,3.07,35.1,75,36.87,38.6,50.41,52.4,16,48.54,31.74,75,5.3,7975.1,3.5,99.15,65.41,43.31,69.9,6,45.86,77.65,76.95,62.6,47.64,46.83,2.8,81.25,4.61,0,2.5,0.31,NA,20.5415478,18.53677,15430.93,4.95,4.1,4.9,1.96,15200,68.7,68,60,64,93,38,29
Portugal,Europe and Central Asia,Developed economies,76.5,90.9,83.7,80.2,67.9,75.4,68.9,44.1,86.4,64,0.81,62.5,59.47,52.7,29.03208146,1.36552,4638977.26,0.08,0.69,177.81,4.59,6,80.3,3.52,54.5,68.5,18.84,55.9,61.43,49.5,60.2,47.55,40.62,45,2.1,12717.2,3.56,97.48,71.24,47.59,56.9,19.78,52.59,72.74,71.65,76.5,47.25,54.65,3.4,87.12,3.97,0.5,2.5,0.17,NA,7.87243509,7.31575,23186.27,1.3,2.2,8.9,2.31,23080,71.3,63,27,31,99,28,33
Qatar,Middle East and North Africa,Developing economies,68.7,86.1,99.4,38,54.6,66.9,64.6,65.9,81.6,62,NA,70.85,70.76,7.2,NA,0.50729,1786440.29,0.08,0.06,86.95,5.26,5.89,78.9,5.09,64.8,64.4,1.75,38.8,75.47,12.5,4.9,70.07,63.79,40,NA,852.7,3.5,98.96,83.78,64.08,57.8,45.25,45.17,82.1,87.09,71.1,64.33,65.53,5.3,69.37,NA,NA,NA,0.27,NA,90.3475113,49.86399,70779.52,-1.08,-0.2,0.1,-1.14,63410,69.3,NA,NA,NA,NA,NA,NA
Romania,Europe and Central Asia,Developed economies,73.3,87.7,85.2,59.1,72.2,72.5,55.1,63,86.4,47,NA,41.92,37.52,10.7,NA,0.5051,2774471.52,0.15,0.3,155.52,3.39,4.68,71.4,2.31,38.7,68.9,14.87,55.2,NA,37.6,7.6,44.33,27.47,80,0.3,1421.5,3.1,95.91,72.01,34.53,61.4,NA,NA,NA,NA,58.6,43.89,38.23,2,74.81,4.43,5.7,2.5,0.17,NA,14.2860174,12.01824,12285.2,7.48,4.1,4.9,2.45,12630,58,90,30,42,90,52,20
